strata.1,strata.2,Fst,Fst.p.val,year
CH,CH,0,9.99001e-4,2011
CH,FRH,0.016396886989256978,9.99000999000999e-4,2011
CH,MRH,0.02388697319552449,9.99000999000999e-4,2011
CH,NH,0.09242350167368982,9.99000999000999e-4,2011
FRH,CH,0.016396886989256978,9.99000999000999e-4,2011
FRH,FRH,0,9.99001e-4,2011
FRH,MRH,0.013475210970245186,9.99000999000999e-4,2011
FRH,NH,0.09517961611559693,9.99000999000999e-4,2011
MRH,CH,0.02388697319552449,9.99000999000999e-4,2011
MRH,FRH,0.013475210970245186,9.99000999000999e-4,2011
MRH,MRH,0,9.99001e-4,2011
MRH,NH,0.10381537391840832,9.99000999000999e-4,2011
NH,CH,0.09242350167368982,9.99000999000999e-4,2011
NH,FRH,0.09517961611559693,9.99000999000999e-4,2011
NH,MRH,0.10381537391840832,9.99000999000999e-4,2011
NH,NH,0,9.99001e-4,2011
CH,CH,0,9.99001e-4,2012
CH,FRH,0.02127169863706739,9.99000999000999e-4,2012
CH,MRH,0.03149539042847469,9.99000999000999e-4,2012
CH,NH,0.08953727543941617,9.99000999000999e-4,2012
FRH,CH,0.02127169863706739,9.99000999000999e-4,2012
FRH,FRH,0,9.99001e-4,2012
FRH,MRH,0.020226545211811744,9.99000999000999e-4,2012
FRH,NH,0.09041995623258747,9.99000999000999e-4,2012
MRH,CH,0.03149539042847469,9.99000999000999e-4,2012
MRH,FRH,0.020226545211811744,9.99000999000999e-4,2012
MRH,MRH,0,9.99001e-4,2012
MRH,NH,0.09279203328995973,9.99000999000999e-4,2012
NH,CH,0.08953727543941617,9.99000999000999e-4,2012
NH,FRH,0.09041995623258747,9.99000999000999e-4,2012
NH,MRH,0.09279203328995973,9.99000999000999e-4,2012
NH,NH,0,9.99001e-4,2012
CH,CH,0,9.99001e-4,2013
CH,FRH,0.021448081878700506,9.99000999000999e-4,2013
CH,MRH,0.028823097737477592,9.99000999000999e-4,2013
CH,NH,0.1018146329038612,9.99000999000999e-4,2013
FRH,CH,0.021448081878700506,9.99000999000999e-4,2013
FRH,FRH,0,9.99001e-4,2013
FRH,MRH,0.008825059406734986,9.99000999000999e-4,2013
FRH,NH,0.09821086674977594,9.99000999000999e-4,2013
MRH,CH,0.028823097737477592,9.99000999000999e-4,2013
MRH,FRH,0.008825059406734986,9.99000999000999e-4,2013
MRH,MRH,0,9.99001e-4,2013
MRH,NH,0.10833259329358694,9.99000999000999e-4,2013
NH,CH,0.1018146329038612,9.99000999000999e-4,2013
NH,FRH,0.09821086674977594,9.99000999000999e-4,2013
NH,MRH,0.10833259329358694,9.99000999000999e-4,2013
NH,NH,0,9.99001e-4,2013
CH,CH,0,9.99001e-4,2014
CH,FRH,0.01891590999098912,9.99000999000999e-4,2014
CH,MRH,0.024646973100223034,9.99000999000999e-4,2014
CH,NH,0.09843986326576351,9.99000999000999e-4,2014
FRH,CH,0.01891590999098912,9.99000999000999e-4,2014
FRH,FRH,0,9.99001e-4,2014
FRH,MRH,0.019690658988979492,9.99000999000999e-4,2014
FRH,NH,0.09702612508038955,9.99000999000999e-4,2014
MRH,CH,0.024646973100223034,9.99000999000999e-4,2014
MRH,FRH,0.019690658988979492,9.99000999000999e-4,2014
MRH,MRH,0,9.99001e-4,2014
MRH,NH,0.09885545519066177,9.99000999000999e-4,2014
NH,CH,0.09843986326576351,9.99000999000999e-4,2014
NH,FRH,0.09702612508038955,9.99000999000999e-4,2014
NH,MRH,0.09885545519066177,9.99000999000999e-4,2014
NH,NH,0,9.99001e-4,2014
CH,CH,0,9.99001e-4,2015
CH,FRH,0.02069695783095378,9.99000999000999e-4,2015
CH,MRH,0.03043930159758216,9.99000999000999e-4,2015
CH,NH,0.10068951568186671,9.99000999000999e-4,2015
FRH,CH,0.02069695783095378,9.99000999000999e-4,2015
FRH,FRH,0,9.99001e-4,2015
FRH,MRH,0.01815746626841794,9.99000999000999e-4,2015
FRH,NH,0.09819628169169024,9.99000999000999e-4,2015
MRH,CH,0.03043930159758216,9.99000999000999e-4,2015
MRH,FRH,0.01815746626841794,9.99000999000999e-4,2015
MRH,MRH,0,9.99001e-4,2015
MRH,NH,0.11034625878694201,9.99000999000999e-4,2015
NH,CH,0.10068951568186671,9.99000999000999e-4,2015
NH,FRH,0.09819628169169024,9.99000999000999e-4,2015
NH,MRH,0.11034625878694201,9.99000999000999e-4,2015
NH,NH,0,9.99001e-4,2015
CH,CH,0,9.99001e-4,2016
CH,FRH,0.016875344263856944,9.99000999000999e-4,2016
CH,MRH,0.05237331710377411,9.99000999000999e-4,2016
CH,NH,0.11681377996703318,9.99000999000999e-4,2016
FRH,CH,0.016875344263856944,9.99000999000999e-4,2016
FRH,FRH,0,9.99001e-4,2016
FRH,MRH,0.03157470867739891,9.99000999000999e-4,2016
FRH,NH,0.11200817486592732,9.99000999000999e-4,2016
MRH,CH,0.05237331710377411,9.99000999000999e-4,2016
MRH,FRH,0.03157470867739891,9.99000999000999e-4,2016
MRH,MRH,0,9.99001e-4,2016
MRH,NH,0.13429426787828164,9.99000999000999e-4,2016
NH,CH,0.11681377996703318,9.99000999000999e-4,2016
NH,FRH,0.11200817486592732,9.99000999000999e-4,2016
NH,MRH,0.13429426787828164,9.99000999000999e-4,2016
NH,NH,0,9.99001e-4,2016
CH,CH,0,9.99001e-4,2017
CH,FRH,0.022181053661153968,9.99000999000999e-4,2017
